City,Latitude,Temperature,Humidity,WindSpeed,Cloudiness,Date,Country
Ancud,-41.87,47.14,98,8.97,92,1537655541,CL
Sesheke,-17.47,70.27,32,8.63,0,1537655541,NA
Amudat,1.95,59.11,90,2.26,44,1537655541,UG
Altoona,40.52,62.06,67,5.82,1,1537653300,US
Rognan,67.1,46.4,93,39.15,75,1537653000,NO
Lata,30.78,52.36,100,1.7,92,1537655542,IN
Kirakira,-10.46,80.44,100,11.1,36,1537655543,SB
Vardo,39.62,69.8,60,9.17,1,1537653300,US
Sinnamary,5.38,82.42,93,11.99,0,1537655543,GF
Buraydah,26.33,86.0,28,3.36,0,1537653600,SA
Tateyama,36.66,62.6,93,1.12,40,1537650600,JP
Faranah,10.04,72.88,94,4.94,68,1537655544,GN
Beringovskiy,63.05,45.79,100,14.23,80,1537655544,RU
Khuzdar,27.8,54.07,82,2.48,0,1537655545,PK
Grado,43.39,62.6,100,2.24,0,1537653600,ES
Emba,34.81,77.0,77,9.17,0,1537653600,CY
Terekli-Mekteb,44.16,59.2,95,8.86,0,1537655546,RU
Kavadarci,41.43,64.4,72,3.36,0,1537653600,MK
Guerrero Negro,27.97,77.11,70,12.21,0,1537655547,MX
Segezha,63.74,52.81,79,11.54,80,1537655547,RU
Beidao,34.57,54.07,96,2.48,88,1537655547,CN
Mangai,-4.07,70.36,99,2.71,56,1537655547,CD
Nouadhibou,20.93,69.8,83,16.11,0,1537653600,MR
Sooke,48.37,66.2,77,13.87,75,1537653600,CA
Uige,-7.61,64.69,95,2.15,44,1537655548,AO
Tari,12.41,74.86,91,2.93,44,1537655549,NG
Fairfield,38.25,89.6,20,8.05,1,1537653300,US
Samarai,-10.62,77.92,100,18.81,92,1537655549,PG
Inuvik,68.36,42.8,75,6.73,75,1537653600,CA
Yeppoon,-23.13,68.0,68,8.05,0,1537653600,AU
Arman,59.7,46.4,93,1.81,32,1537653600,RU
Monterey,36.6,80.6,67,8.05,1,1537653300,US
Shihezi,44.3,45.43,82,3.15,12,1537655551,CN
Kashiwazaki,37.37,69.46,92,2.93,12,1537655597,JP
Ayan,40.67,39.04,80,2.15,0,1537655598,TR
Bambanglipuro,-7.95,73.06,81,3.94,12,1537655598,ID
Hami,42.84,48.4,42,7.29,36,1537655598,CN
Aranos,-24.14,64.42,22,3.94,0,1537655598,NA
Yumen,40.29,39.22,62,7.52,0,1537655599,CN
Antofagasta,-23.65,60.8,72,13.87,20,1537653600,CL
San Roque,0.3,53.26,88,1.36,0,1537655600,EC
Cuencame,24.87,65.68,89,6.85,92,1537655600,MX
Dicabisagan,17.08,78.28,100,5.73,12,1537655600,PH
Arandis,-22.42,62.44,92,2.37,64,1537655601,NA
Am Timan,11.04,71.71,90,2.82,44,1537655601,TD
Katete,-0.78,60.19,83,2.48,44,1537655601,UG
La Romana,18.43,82.4,83,6.4,40,1537653600,DO
Hualmay,-11.1,62.71,80,6.62,32,1537655602,PE
Price,39.6,69.91,19,4.94,44,1537655602,US
Antequera,-24.09,86.56,49,5.61,0,1537655602,PY
Pangnirtung,66.15,32.02,91,5.39,88,1537655603,CA
Sassandra,4.95,77.56,98,11.43,88,1537655603,CI
Magallanes,12.83,80.62,100,8.75,64,1537655603,PH
Renqiu,38.71,59.56,41,8.75,0,1537655603,CN
Sarangani,5.4,82.42,99,17.36,8,1537655604,PH
Saint-Joseph,43.56,75.2,88,4.7,0,1537653600,FR
Buta,2.79,74.32,96,2.26,20,1537655605,CD
Carupano,10.67,80.26,94,10.76,56,1537655605,VE
Antalaha,-14.9,68.83,95,9.08,80,1537655605,MG
Beja,38.02,78.8,44,9.17,0,1537653600,PT
Kieta,-6.22,79.72,100,3.71,64,1537655606,PG
Kwinana,-32.25,57.2,100,4.7,0,1537653600,AU
Banjar,-7.37,69.64,97,2.59,80,1537655606,ID
Mlonggo,-6.53,79.63,87,6.29,0,1537655607,ID
High Level,58.52,50.0,25,6.93,5,1537653600,CA
Muros,42.77,60.8,100,1.12,0,1537653600,ES
Maldonado,-34.91,77.0,73,4.7,90,1537653600,UY
Luziania,-16.25,75.2,50,5.82,20,1537653600,BR
Kuandian,40.73,57.13,76,3.83,76,1537655608,CN
Merauke,-8.49,82.15,75,16.8,20,1537655609,ID
Gold Coast,-28.0,68.0,60,6.93,44,1537653600,AU
Manitouwadge,49.12,50.0,93,9.17,90,1537650000,CA
Grand Gaube,-20.01,75.2,69,11.41,75,1537653600,MU
Ulaanbaatar,47.92,19.4,92,2.24,0,1537653600,MN
Dodola,10.12,70.63,97,5.61,80,1537655610,BF
Kutum,14.2,74.95,51,10.65,0,1537655610,SD
Kamaishi,39.28,69.19,78,9.31,0,1537655611,JP
Tahe,52.34,45.97,80,6.51,68,1537655611,CN
Porbandar,21.64,80.62,85,15.01,92,1537655611,IN
Amurzet,47.69,50.65,100,4.61,0,1537655611,CN
Brae,60.4,46.4,70,18.34,80,1537653000,GB
Bilma,18.69,83.77,18,4.16,76,1537655658,NE
Taungdwingyi,20.0,77.56,92,3.71,76,1537655658,MM
Nemuro,43.32,60.1,100,17.02,92,1537655518,JP
Arica,-18.48,62.6,67,6.93,75,1537653600,CL
Kloulklubed,7.04,80.6,83,12.75,90,1537653000,PW
Urengoy,65.96,44.62,89,4.94,68,1537655659,RU
Zaragoza,41.65,77.0,47,10.29,0,1537653600,ES
Southbridge,42.08,68.0,59,6.93,75,1537653360,US
Los Llanos de Aridane,28.66,75.2,73,17.22,8,1537653600,ES
Borogontsy,62.67,42.82,85,6.96,92,1537655660,RU
Ixtapa,20.71,86.0,84,11.41,90,1537652700,MX
Wattegama,7.35,66.94,92,3.04,32,1537655661,LK
Souillac,45.6,68.0,77,8.05,90,1537653600,FR
Nove Hrady,48.79,49.03,77,3.04,68,1537655661,CZ
Fort Nelson,58.81,55.4,28,9.17,5,1537653600,CA
Taonan,45.34,47.32,88,6.96,80,1537655662,CN
The Valley,18.22,84.2,69,9.17,20,1537653600,AI
